test_smile,dmpnn_pre_pro,dmpnn_xgb_pre_pro,morgan_xgb_pre_pro,dmpnn_morgan_xgb_pre_pro,target
C=CC(=O)N[C@H]1CCc2[nH]c3c(C(N)=O)cc(F)c(-c4cccc(NC(=O)c5ccccc5)c4C)c3c2C1,[0.999821126461029],0.9999485,0.9810798,0.9999206,0.0
NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,[0.9999470710754395],0.99993646,0.9995413,0.9998988,0.0
O=C(N1CC=C(c2cc3c(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)ncnc3[nH]2)CC1)N1CCOCC1,[0.9979762434959412],0.9999124,0.997322,0.999869,0.0
CC(C)(/C=C(\C#N)C(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(S(C)(=O)=O)CC1,[0.9998370409011841],0.9998814,0.9996586,0.999838,0.0
CN(C)C(=O)c1cc2c(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)ncnc2[nH]1,[0.9955006241798401],0.9998715,0.9910712,0.9998079,0.0
CC#CC(=O)N1CC[C@H](C1)N1C(=O)N(C2=C(N)N=CN=C12)C1=CC=C(OC2=CC=CC=C2)C=C1,[0.9984941482543945],0.9998055,0.9773522,0.9997242,0.0
CN1C(=O)N(C(=O)C2=C1C(F)=CC=C2)C1=C(C)C(=CC=C1)C1=C2C3=C(C[C@H](CC3)C(C)(C)O)NC2=C(C=C1F)C(N)=O,[0.9890717267990112],0.99976426,0.9958947,0.9995907,0.0
CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,[0.9988313317298889],0.9997534,0.9885988,0.9996152,0.0
C[C@H]1CN(CCN1C1=CC=C(NC2=CC(=CN(C)C2=O)C2=C(CO)C(=NC=C2)N2CCN3C4=C(CC(C)(C)C4)C=C3C2=O)N=C1)C1COC1,[0.9861727356910706],0.9997125,0.9699146,0.9995528,0.0
COC1=C2NC(=CC2=CC=C1)C1=C2N(N=CN=C2N)C(=N1)[C@H]1CC[C@@H](CC1)C(O)=O,[0.95191890001297],0.9996482,0.7267593,0.9994655,0.0
